title,description,url,organization,age_range,start_date,end_date,start_time,end_time,day_of_week,duration_minutes,repeat_rrule,repeat_frequency,newsletter_description,newsletter_last,newsletter_highlight,calendar_skip,calendar_sent,file_url,location,neighborhood,area,created_at,list_id,status,source
The Rainbow,"An enchanting theatre performance for children 1-4 years old by Black Cat Theatre. The shows primarily use live music, dance, and mime with minimal spoken language to appeal to imagination and creativity, making them accessible to children from diverse backgrounds. Children are also invited to play in the foyer and theatre hall before and after the performance.",https://www.iamsterdam.com/en/whats-on/calendar/theatre-and-stage/stage/the-rainbow-1-4-years,Black Cat Theatre,1-4 years,2024-04-11,2024-04-12,09:30,,Thursday,60,,,"Experience 'The Rainbow', an enchanting and accessible toddler theatre performance by Black Cat Theatre. Featuring live music, dance, and mime with minimal spoken language, it's designed to spark imagination and creativity for children from all backgrounds. Children are encouraged to play before and after the show.",,false,false,true,,"Schakelstraat 2, 1014 AW Amsterdam",Sloterdijk,West,2026-04-06 08:20,ideas,new,manual
The National Potato Week,"The No Waste Army launches 'The National Potato Week' from April 17th to 26th to rescue over 500 million kilograms of potatoes from being wasted in the Netherlands. Due to a record harvest, a massive surplus of perfectly edible potatoes is at risk of being discarded. The initiative calls on everyone to participate by ordering and picking up potatoes directly from farmers or donating them to food banks. Join the community effort to save this mountain of potatoes.",https://nowastearmy.nl/week-van-de-aardappel/,No Waste Army,,2024-04-17,2024-04-26,,,Wednesday,,,,"The No Waste Army is hosting 'The National Potato Week' from April 17th to 26th, calling on everyone to help rescue 500 million kilograms of perfectly edible potatoes from going to waste. This initiative encourages participants to order and pick up potatoes directly from farmers or donate them to food banks, making it a great family activity to join in the fight against food waste.",2026-04-20,false,true,false,,,Other,Everywhere,2026-04-12 11:25,ideas,new,manual
Public Splash Pools,"Amsterdam has 15 public toddler pools that are open seasonally from May through September. The pools operate daily from 10:00 to 18:00, provided the weather is sunny and above 20 degrees Celsius. The Municipality of Amsterdam ensures daily cleaning of these pools. Some locations, such as those in Oosterpark and Vondelpark, also offer toilet facilities, which are maintained when the pools are open. The pool at Beatrixpark opens on September 1st, while others like Oosterpark and Vondelpark are available by May 20th.",https://www.amsterdam.nl/sport/zwemmen-in-amsterdam/openbare-peuterbadjes/,Municipality of Amsterdam,,2024-05-01,2024-09-30,10:00,18:00,Wednesday,480,RRULE:FREQ=DAILY;UNTIL=20240930,daily,"Enjoy a refreshing dip at one of Amsterdam's 15 public toddler pools, hosted by the Municipality of Amsterdam. These free pools are open daily from May to September, between 10:00 and 18:00, when the temperature is 20+ degrees. Heads up: The Vondelpark and Oosterpark pools aren't open until 20 May!",,false,true,false,,,Other,Everywhere,2026-05-03 07:18,ideas,new,manual
MamaSocial Signature Brunch,"Celebrate Dutch Mother's Day at the MamaSocial Signature Brunch at Kanarie Club in Amsterdam West. Enjoy brunch, drinks, and great chats with other mamas. The venue offers plenty of room for little ones and strollers, with nannies from Charly Cares providing supervision in a dedicated play area for babies to stretch and roll around. The event features a speaker, Fayette from Mama Thrive, discussing 'Postpartum is a time of recovery and rebuilding'. Tickets include a mimosa or juice on arrival, a personal brunch platter (raspberry chia pudding, avocado toast, smoothie of the day, fries), and your choice of one additional drink. Photographer Sim Sawyers will be capturing moments. Open to all mamas, whether with a baby, toddler, or bump.",https://luma.com/nofflkew?lm_source=embed,MamaSocial,0-3 years,2024-05-08,2024-05-08,10:00,12:00,Wednesday,120,,,"MamaSocial invites all mothers to their Signature Brunch at Kanarie Club in Amsterdam West to celebrate Dutch Mother's Day. This ticketed event offers a delicious brunch, drinks, and a chance to connect with other mamas, with nannies from Charly Cares on hand in a dedicated play area for babies and toddlers (0-3 years). A speaker will discuss postpartum recovery, providing a supportive and engaging environment for parents.",,false,false,true,,"Bellamystraat 17, 1053 BE Amsterdam, The Netherlands",Oud-West,West,2026-04-27 06:43,ideas,new,manual
Freedom Brunch,"Kiem Amsterdam invites you to their Freedom Brunch, celebrating Freedom Day with neighbors. The event features live music by singer-songwriter Sonny, is free of charge, and open to all ages. It will be held outdoors in the Wachterliedplantsoen if the weather is good, or indoors at Kiem Lokaal otherwise.",,Kiem Amsterdam,All ages,2025-05-05,2025-05-05,11:00,13:00,Monday,120,,,"Celebrate Freedom Day with Kiem Amsterdam at their free Freedom Brunch, featuring live music by singer-songwriter Sonny! This community event is open to all ages and offers a wonderful opportunity to connect with your neighbors.",,false,false,true,https://amsparentproject.slack.com/files/U08CUR77G9K/F0B16EKUZM4/screenshot_20260502-085719.png,"Wachterliedplantsoen 1A, 1056 KB Amsterdam, The Netherlands",Bos en Lommer,West,2026-05-02 10:18,ideas,new,manual
Special Mums & Bubs with a Live Singer,"Join Damoves for a beautiful end-of-the-year 'Special Mums & Bubs' session with a live singer. This gentle yet energizing class is created especially for mums and their little ones, offering a space to move your body, reconnect with yourself, and share a special moment with your bub. Whether you're easing back into movement or looking for a feel-good way to spend time with other mums, this session is the perfect way to close the year feeling relaxed, strong, and connected. Spots are limited, book now.",https://www.instagram.com/p/DSkNu4ZjHu9/?igsh=dnY5d29ib2tsaG5t,Damoves,0-3 years,2025-12-28,2025-12-28,13:30,15:00,Sunday,90,,,"Join Damoves for a beautiful end-of-the-year 'Special Mums & Bubs' session with a live singer. This gentle yet energizing class is created especially for mums and their little ones, offering a space to move your body, reconnect with yourself, and share a special moment with your bub. Whether you're easing back into movement or looking for a feel-good way to spend time with other mums, this session is the perfect way to close the year feeling relaxed, strong, and connected. Spots are limited, book now.",,false,false,true,,"Bosboom Toussaintstraat 62, 1054 AV Amsterdam, Netherlands",Oud-West,West,2025-12-29 21:21,ideas,new,manual
Mirror floors at the Museum of the Canals,"The Canal Museum featuring a unique mirrored floor installation. The floor of the ""Andriessenkamer"" will be temporarily covered with mirrors, reflecting the 17th-century room's ornate walls and ceiling to create an immersive visual illusion.",https://grachten.museum/,Museum of the Canals,,2026-01-01,2026-01-31,,,Thursday,,,,"The Museum of the Canals is opening up their unique mirrored floor installation this January. The Andriessenkamer is transformed into an immersive visual illusion that reflects the room's 17th-century ornate walls and ceiling. Even beyond the installation, it's an excellent museum to visit in the center — my toddler loves it!",2026-01-09,false,true,false,https://amsparentproject.slack.com/files/U08CUR77G9K/F0A6YCRGTDW/screenshot_2025-12-30_at_2.27.46_pm.png,"Herengracht 386, 1016 CJ Amsterdam, The Netherlands",Grachtengordel-West,Center,2025-12-30 14:33,ideas,new,manual
Amstermam Café,"The Amstermam Café is open for a cozy New Year's gathering. Come with or without your baby, your CP group (even if you haven't given birth yet), or your neighbor to toast to the new year. Enjoy mocktails by Niken, cappuccinos, and tasty treats. Hosted by Amstermam.",https://www.instagram.com/reel/DS49qo4jAAj/?igsh=MW9tb2xjdjRvcmwx,Amstermam,Parents and babies,2026-01-02,2026-01-02,09:30,11:30,Friday,120,,,"The Amstermam Café invites expectant and new parents with their babies (or without!) to a cozy New Year's gathering. Connect with other parents, enjoy mocktails, cappuccinos, and tasty treats, all hosted by Amstermam. Free to attend.",,false,false,true,,"Asterweg 173, 1031 HL Amsterdam, The Netherlands",Buiksloterham,North,2025-12-30 15:11,ideas,new,manual
Kids Yoga Free Trial Special,"Join Mukha Kids Yoga for a free trial this January. These gentle, playful yoga classes are designed to help children slow down and connect with themselves. The trial is applicable to new yogis only and requires a special code ('FREECLASS26') for registration. Classes are suitable for children 1.5-6 years old and run every Friday and Sunday throughout the month.",https://www.instagram.com/p/DTGfYlljP6R/?igsh=YmY4Z3E1cmh2cmI=,Mukha Kids Yoga,1.5-6 years,2026-01-04,2026-01-31,,,Sunday,,,,"Mukha Kids Yoga invites new yogis aged 1.5-6 years to enjoy a free trial class this January! These gentle and playful yoga sessions are designed to help children connect and slow down. Free, but registration with the code 'FREECLASS26' is required for new participants, with classes offered weekly on Fridays and Sundays.",2026-01-09,false,true,false,,,,"North,East",2026-01-04 22:10,ideas,new,manual
Daily Playtime & Coffee at Club Abbey,"Club Abbey reopens its doors on January 5, 2026, at 9:00 AM, welcoming families to start the new year. Parents can enjoy much-needed coffee and delicious snacks while their little ones aged 1 to 6 years play in a dedicated area. The entrance fee for children is €5.50.",https://www.instagram.com/p/DTFeqH6Ddy0/?igsh=c210ZnJ0anFxZDRw,Club Abbey,1-6 years,2026-01-05,,09:00,17:00,Monday,480,RRULE:FREQ=DAILY,daily,"Club Abbey, a beloved indoor play cafe for children aged 1-6 years, reopens on January 5th for daily fun. Parents can enjoy coffee and snacks while their little ones explore the play area. Entrance is only €5.50 in the morning!",,false,true,false,,"Linnaeusstraat 121, 1093 NB Amsterdam",Oosterpark,East,2026-01-14 08:02,ideas,new,manual
